CASEID,FOLIO,REGION,MANZANA,NSE,INT_CODE,A,B,P1,SEXO1,SEXO2,SEXO3,SEXO4,SEXO5,SEXO6,SEXO7,SEXO8,SEXO9,SEXO10,SEXO11,SEXO12,SEXO13,SEXO14,SEXO15,EDAD1,EDAD2,EDAD3,EDAD4,EDAD5,EDAD6,EDAD7,EDAD8,EDAD9,EDAD10,EDAD11,EDAD12,EDAD13,EDAD14,EDAD15,ACTIV_1A,ACTIV_1B,ACTIV_1C,ACTIV2,ACTIV3,ACTIV4,ACTIV5,ACTIV6,ACTIV7,ACTIV8,ACTIV9,ACTIV10,ACTIV11,ACTIV12,ACTIV13,ACTIV14,ACTIV15,REL2,REL3,REL4,REL5,REL6,REL7,REL8,REL9,REL10,REL11,REL12,REL13,REL14,REL15,P3,P3_1,P3_2,P3_3,P4,P4_1,P4_2,P4_3,P5,P6,P7,P8_1,P8_2,P9,P10,P11,P12,P13,P14,P15,P15_1,P16,P16_1,P17,P17_S,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P32_S,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P47_S,P48,P49,P50,P51,P52,P52_A,P53,P54,P54_1,P55,P56,P57,P57_S,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P72_A,P73,P73_A,P74_1,P74_2,P74_3,P74_4,P74_5,P74_6,P75,P75_A,P76,P77,P78,P78A,P79,P80,P81,P82,P83,P84,P85,P86,P86_S,P87,P88,P88_A,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P98A,P98B,P98C,P99_1,P99_2,P99_3,P99_4,P99_1A,P99_2A,P99_3A,P99_4A,P1001,P101,P102,P103,P104,P105,P106,P107_1,P107_2,P107_3,P107_4,P107_5,P107_6,P107_1A,P107_2A,P107_3A,P107_4A,P107_5A,P108,P109,P110,P111_1,P111_2,P111_3,P111_4,P111_5,P111_6,P111_7,P111_8,P111_9,P111_10,P111_11,P112,P112_1,P113,P114,P115,P116,P116A,P116ASQ,P116B,P116_A,P116_B,P117,P117_A,P118,P119,P120,P121,P1220,P122_S,P123,P124,P125
2099,3559,13, ,1,14,1,38,7,1,2,2,2,1,2,2, , , , , , , , ,38,37,8,6,4,2,1, , , , , , , , ,5, , ,3,1,1,1, , , , , , , , , , ,2,3,3,3,3, , , , , , , , , ,1, , , ,1, , ,99,13,7,15,3,3,3, ,1, , , , , , ,1,2421,0,93,1,3,1,2, ,1,4,4, ,2,1998,16,5220,0,52,2,3,5,2, ,1,3,4,50,1981,2, , , , , , , ,1,1, , , , ,1919,2142,0,45,1,3,1,2,1,7,13,6,9,6,4,9,3,1,1,1,1,2,2,1,2,2, ,1,1,6,3,1,1,12,5,3,2,13,5,9,3471,0,1,1,1,1,1990,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,4, ,80000000,1,2,2,1,2,2, ,0,0,1,0,0,12,1,12,1,1,1,1,2,1,1,1,1,1, ,1,1,2,6,4,8,8,64,8,2,2,2, ,1,13,5,1,1316,0,64,1,2
2100,1153,7, ,4, ,1,45,3,1,2,1, , , , , , , , , , , , ,45,36,7, , , , , , , , , , , , ,5, , ,5,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,5,4, ,1,1,3, ,1, , , , , , ,1,6141,1,75,2,4,2,2, ,1,5,4,35,2,2001,18,3212,0,75,2,2, , , , , ,4,35,1975,5,2,8322,0,2,60,1995,1995,1,1, , , , ,1920,8311,0,75,1,4,1,0,1,6,0,0,1,0,0,1,2,2,0,2,0, , , , , , ,2,0,5,3,2,0,5,6,1,1,3,5,9,7122,0,2,1,1,2,1993,3,4,2,2, , ,1,4,4,0,0, , , , , , , , ,2, , ,4, ,28000000,2, , , , , , , , , , , ,3,2,5,1,1,1,2,2,2,2,2,2,2, ,2, ,2,4,2,3,3,9,3,2,2,2, ,1,13,5,1,4115,0,75,4,2
2101,981,8, ,4, ,1,39,5,1,2,2,2,1, , , , , , , , , , ,39,38,21,20,21, , , , , , , , , , ,5, , ,5,1,1,1, , , , , , , , , , ,2,3,3,6, , , , , , , , , , ,2,101,8,3,1, , ,99,14,2,471,2,2,4, ,1, , , , , , ,1,2331,0,80,1,3,1,1,2,1,4,4,44,2,1991,15,7414,0,15,1,3,1,1,1,1,5,2,48,1976,5,1, , , , , , ,1,1, , , , ,1934,6114,1,1,1,3,1,2,1,6,6,6,9,6,3,9,1,2,0,2,0, , , , , , ,2,0,4,3,1,1,13,4,1,1,13,6,9,2331,0,2,1,1,2,1979,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,75000,15000000,2, , , , , , , , , , , ,8,2,9,1,1,1,2,2,1,1,2,1,2, ,2, ,1,5,3,4,4,16,4,2,2,2, ,1,4,4,1,1318,0,93,1,1
2102,3725,6, ,1, ,1,44,4,1,2,1,2, , , , , , , , , , , ,44,78,39,33, , , , , , , , , , , ,5, , ,4,5,3, , , , , , , , , , , ,4,8,9, , , , , , , , , , , ,2,238,6,3,2, , ,99,13,7,86,2,2,5, ,1, , , , , , ,1,2143,0,13,2,2, ,2, , , ,4,48,5,2001,27,2143,0,13,2,2, , , , , ,4,48,1986,5,2,2143,0,2,13,1993,1998,1,1, , , , ,1923,6114,1,1,2,2, , , , ,6,1,9,7,4,9,1,1,1,2,0, , , , , , ,2,0,6,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,20000000,1,2,2,1,2,2, ,0,0,1,0,0,11,3,13,1,1,1,1,2,1,1,2,1,2, ,1,1,2,7,3,3,3,9,3,1,2,2, ,1,11,2,1,3415,0,51,3,2
2103,3795,13, ,4,356,1,40,4,1,2,1,2, , , , , , , , , , , ,40,34,14,9, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,5,3, ,1,1,3, ,1, , , , , , ,1,7133,1,33,1,3,1,1,2,2,5,4,48,2,1996,17,9151,0,52,1,3,5,2, ,1,2,4,48,1980,5,2,8139,0,1, ,1980,1996,1,1, , , , ,1932,110,0,75,1,3,2, ,1,7,6,6,9,3,5,9,1,1,1,2,0, , , , , , ,2,0,2,1,1,1,2,8,3,1,3,6,9,7122,0,2,1,1,2,1985,1,1,1,2, , ,2,2,2,1,1,2,2,1,2,0,0,1,0,1,1991,4,1, ,7000000,2, , , , , , , , , , , ,9,1,9,1,1,1,2,2,1,2,2,2,2, ,2, ,1,6,3,7,7,49,7,2,2,2, ,1,4,4,1,8322,0,60,2,2
2104,2864,13, ,1,14,1,41,10,1,2,2,2,2,2,1,2,2,1, , , , , ,41,34,21,17,16,7,3,3,10,22, , , , , , , , ,3,1,1,1,1, , , ,2, , , , , ,2,3,3,3,3,3,7,7,6, , , , , ,2,487,10,1,1, , ,99,2,4, ,1,4,2, ,1, , , , , , ,1,3423,0,45,2,2, ,2, , , ,4,70,1,1998,13,9151,0,52,1,3,5,2, ,1,2,4,66,1973,5,2,7133,0,2,45,1994,1998,2,0,1,1, ,1,1934,9131,0,95,1,5,2, ,1,1,1,0,9,99,99,9,9,2,0,2,0, , , , , , ,2,0,0,0,1,1,2,2,3,1,2,2,9,5220,0,2,2,0,2,1981,3,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1987,4,1, ,10000000,2, , , , , , , , , , , ,5,1,5,1,1,1,2,2,2,2,2,2,2, ,1,1,2,4,3,4,4,16,4,2,1,1,2,1,2,5,1,0, ,26,3,1
2105,368,13, ,3,53,1,45,4,1,2,1,1, , , , , , , , , , , ,45,40,16,15, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,251,5,2,1, , ,99,12,3,15,1,1,6,3,1, , , , , , ,1,110,0,75,1,4,1,2, ,1,7,4,48,3,1983,11,5230,0,52,1,3,5,2, ,1,2,4,6,1974,5,1, , , , , , ,1,1, , , , ,1934,4133,1,75,1,4,1,2,1,6,13,6,9,3,5,9,3,1,1,1,1,1,2,1,2,2,2,2,0,7,4,1,1,2,8,3,8, , , , , , , , , ,1985,1,1,2,2, , ,1,4,4,0,0, , , , , , , , ,2, , ,3, ,50000000,2, , , , , , , , , , , ,5,1,5,1,1,1,2,2,2,2,1,1,2, ,2, ,1,5,2,9,9,81,9,2,1,2, ,1,4,4,1,110,0,75,4,1
2106,1223,2, ,3, ,1,42,5,1,2,2,2,1, , , , , , , , , , ,42,39,15,13,10, , , , , , , , , , ,5, , ,3,1,1,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,2,104,2,3,2, , ,99,5,3, ,1,1,3, ,1, , , , , , ,1,3415,0,52,1,3,1,1,1,2,4,4,40,2,1994,15,9312,0,45,1,4,1,2, ,1,6,4,35,1976,5,1, , , , , , ,1,1, , , , ,1938,8322,0,60,1,2, , , , ,2,0,9,2,0,9,3,1,1,1,1,2,2,1,2,2, ,1,1,8,3,1,1,5,5,3,1,6,6,9,4223,0,2,1,1,2,1982,1,3,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,4, ,11000000,2, , , , , , , , , , , ,8,1,8,1,1,1,2,2,2,2,2,1,2, ,2, ,2,8,3,4,4,16,4,2,1,2, ,1,13,5,1,2320,0,75,3,1
2107,2742,1, ,3, ,1,43,4,1,2,2,2, , , , , , , , , , , ,43,43,18,10, , , , , , , , , , , ,5, , ,3,5,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,104,2,3,1, , ,99,5,5, ,1,1,3, ,1, , , , , , ,1,4215,0,65,2,3,1,2, ,1,7,4,48,2,2000,23,3415,0,52,2,3,1,2, ,1,2,4,48,1980,5,2,4215,0,2,52,1994,1996,1,1, , , , ,1925,8324,0,13,1,3,2, ,1,7,0,0,1,6,6,9,2,1,1,2,0, , , , , , ,1,1,6,3,1,1,5,5,3,2,3,4,9,1312,0,1,2,0,2,1980,1,3,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1988,4,7,150000,25000000,1,2,2,1,2,2,2,0,0,1,0,0,8,2,8,1,1,2,2,2,2,2,2,1,2, ,1,1,2,4,2,3,3,9,3,2,2,2, ,1,12,6,1,0,0,0,0,2
2108,3690,13, ,1,72,1,46,5,1,2,1,1,1, , , , , , , , , , ,46,42,21,19,13, , , , , , , , , , ,5, , ,5,1,1,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,1, , , ,3,409,409,3,13,5,18,3,3,4, ,1, , , , , , ,1,2419,0,67,1,1, ,1, , ,2,4,60,5,2001,24,2419,0,75,2,3,5,2, ,1,3,4,23,1980,5,2,2419,0,2,65,1992,1997,1,1, , , , ,1929,121,0,99,2,3,1,2,1,4,13,5,9,12,3,9,3,2,0,1,1,2,1,2,2,2, ,1,1,8,5,1,1,7,3,1,7,13,5,9,2359,0,1,2,0,1,1979,1,4,1,2, , ,1,4,4,0,0, , , , , , , , ,1,1995,1,2, ,130000000,1,1,2,2,1,2, ,1,0,0,1,0,13,2,13,1,1,1,1,2,1,2,2,1,2, ,1,1,2,7,4,1,1,1,1,2,1,2, ,2, , , , , , , , 
2109,2505,9, ,4, ,1,43,4,1,2,2,2, , , , , , , , , , , ,43,42,12,9, , , , , , , , , , , ,4,3, ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,94,7,3,2, , ,99,2,6, ,2,4,6,5,1, , , , , , ,1,9111,0,52,1,1, ,1, , ,3,4,75,5,2000,16,9333,0,52,2,3,5,2, ,1,5,4,70,1988,5,2,5220,0,2,52,1993,1998,1,1, , , , ,1900,6114,0,1,1,2, , , , ,1,0,9,2,4,9,2,1,1,2,0, , , , , , ,2,0,2,1,1,1,2,6,3,1,3,5,9,7124,0,2,2,0,2,1978,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1995,4,2, ,4000000,2, , , , , , , , , , , ,2,1,2,2,2,1,2,2,2,2,2,2,2, ,1,1,2,1,1,6,6,36,6,2,2,2, ,1,2,7,3, , , , ,2
2110,643,13, ,4,174,1,44,4,1,2,1,2, , , , , , , , , , , ,44,43,37,15, , , , , , , , , , , ,5, , ,3,4,1, , , , , , , , , , , ,2,9,3, , , , , , , , , , , ,1, , , ,1, , ,99,4,3, ,1,1,4, ,1, , , , , , ,1,4141,0,51,1,3,1,2, ,1,7,4,48,2,1999,14,9151,0,63,1,3,1,2, ,1,4,2,48,1984,5,2,9151,0,2,63,1984,1999,1,1, , , , ,1925,9211,0,1,1,3,2, ,1,5,0,0,1,2,4,9,3,2,0,1,1,2,1,2,2,2, ,2,0,4,2,1,1,3,5,3,8, , , , , , , , , ,1979,3,2,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1985,4,1, ,3000000,2, , , , , , , , , , , ,7,1,7,1,1,1,2,2,2,1,2,2,2, ,2, ,2,6,2,8,8,64,8,2,2,2, ,1,2,8,1,7412,0,15,3,1
2111,1735,13, ,4,28,1,38,4,1,2,2,2, , , , , , , , , , , ,38,35,16,1, , , , , , , , , , , ,5, , ,5,3, , , , , , , , , , , , ,2,3,7, , , , , , , , , , , ,1, , , ,1, , ,99,4,2, ,1,1,3, ,2,2,2, ,1,2001,9,2,7129,0,45,1,3,1,2, ,1,4,4,48,2,1999,18,9313,0,45,1,3,1,2, ,1,4,4,48,1993,5,2,7122,0,1, ,1993,1995,1,1, , , , ,1942,7122,0,45,1,3,2, ,1,4,3,2,9,3,5,9,2,2,0,2,0, , , , , , ,2,0,2,1,1,1,2,8,2,1,0,0,1,9211,0,2,2,0,2,1985,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,60000,3000000,2, , , , , , , , , , , ,3,2,5,1,1,2,2,2,2,2,2,2,2, ,2, ,2,3,1,3,3,9,3,2,2,2, ,2, , , , , , , , 
2112,1843,13, ,4,14,1,37,4,1,2,2,1, , , , , , , , , , , ,37,44,18,10, , , , , , , , , , , ,5, , ,3,2,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,6,4, ,1,2,3, ,1, , , , , , ,1,7131,0,45,2,3,5,2, ,1,3,4,48,5,1998,17,7131,0,45,2,3,5,2, ,1,4,4,48,1985,5,2,7131,0,2,45,1985,1997,1,1, , , , ,1941,5220,0,52,1,2, , , , ,2,8,9,2,5,9,3,1,1,2,0, , , , , , ,2,0,5,2,1,1,2,6,3,1,0,0,1,7141,0,1,2,0,2,1990,1,2,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,35000,4000000,2, , , , , , , , , , , ,4,1,4,1,1,1,2,2,2,2,2,2,2, ,2, ,2,4,2,7,7,49,7,2,2,2, ,1,4,4,1,7131,0,45,3,1
2113,1628,8, ,4, ,1,38,5,1,1,2,1,1, , , , , , , , , , ,38,33,31,9,4, , , , , , , , , , ,5, , ,5,3,1,1, , , , , , , , , , ,8,9,10,10, , , , , , , , , , ,1, , , ,1, , ,99,4,2, ,1,1,3, ,1, , , , , , ,1,9211,0,93,1,3,2,2, ,1,5,2,48,2,1997,16,0,0,40,2,3,5,2, ,1,2,4,48,1978,5,2,9333,0,2,51,1994,1996,1,1, , , , ,0,4190,0,40,1,5,2, ,1,2,6,6,9,2,8,9,3,1,1,2,0, , , , , , ,2,0,5,3,2,0,2,7,2,1,2,4,9,9110,0,1,1,1,2,1998,2,1,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,3, ,14000000,2, , , , , , , , , , , ,1,2,4,1,1,1,2,2,2,1,1,2,2, ,2, ,2,3,2,4,4,16,4,2,2,2, ,1,7,4,1,8324,0,45,3,1
2114,2600,1, ,2, ,1,45,11,1,2,1,1,1,1,1,2,2,1,2, , , , ,45,46,24,20,18,17,16,15,14,2,60, , , , ,5, , ,3,5,1,1,1,1,1,1, ,4, , , , ,2,3,3,3,3,3,3,3,3,5, , , , ,1, , , ,1, , ,99,13,5,471,3,3,3, ,1, , , , , , ,1,2340,0,80,1,3,1,2, ,1,5,1,70,2,1983,25,3241,0,85,1,2, , , , , ,4,30, ,5,1, , , , , , ,1,1, , , , ,1920,3429,0,61,1,3,1,2,1,7,13,3,9,6,6,9,1,1,1,2,0, , , , , , ,2,0,8,3,1,1,5,5,3,1,7,2,9,3310,0,2,2,0,2,1976,1,1,1,2, , ,1,2,2,1,1,1,2,2,2,1,0,0,0,1,1991,4,7,330000,80000000,1,2,2,1,2,2, ,0,0,1,0,0,10,2,10,1,1,1,2,2,2,2,1,1,1, ,1,2,2,6,4,2,2,4,2,2,1,1,2,1,13,5,1,3114,0,93,2,0
2115,3920,13, ,4,1,1,42,2,1,2, , , , , , , , , , , , , ,42,66, , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,4, , , , , , , , , , , , , ,1, , , ,1, , ,99,2,8, ,1,4,3, ,1, , , , , , ,1,7129,0,45,2,3,1,2, ,1,5,4,48,2,1996,16,9132,0,55,1,3,1,2, ,1,4,4,48,1975,1, , , , , , , ,2,0,1,31, ,1,1935,9133,0,95,2,2, , , , ,3,3,9, , , , ,1,1,2,0, , , , , , ,2,0,3,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,12000000,2, , , , , , , , , , , ,4,2,5,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,4,4,16,4,2,2,2, ,1,2,8,2,7129,0,45,3,1
2116,419,13, ,4,355,1,37,4,1,2,1,2, , , , , , , , , , , ,37,40,12,7, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,11,2,100,1,1,3, ,1, , , , , , ,1,4133,1,60,1,3,1,1,2,1,6,4,72,2,1998,21,5139,0,91,2,3,2,2, ,1,6,4,48,1987,5,2,8311,0,1, ,1995,1998,1,1, , , , ,1933,3340,0,80,1,3,2, ,1,5,6,6,9,6,6,9,2,1,1,2,0, , , , , , ,2,0,4,2,1,1,9,2,3,1,6,6,9,8322,0,2,1,1,2,1986,1,2,1,1,2,4,1,4,4,0,0, , , , , , , , , , , ,1, ,7000000,2, , , , , , , , , , , ,9,1,9,1,1,1,2,2,2,2,2,2,2, ,1,1,2,4,2,2,2,4,2,1,2,2, ,1,11,2,1,3423,0,45,2,1
2117,2463,9, ,4, ,1,39,7,1,2,1,1,1,2,2, , , , , , , , ,39,43,10,9,20,17,1, , , , , , , , ,5, , ,3,1,1,5,2, , , , , , , , , ,2,3,3,3,3,7, , , , , , , , ,1, , , ,1, , ,99,2,8, ,2,4,6,3,1, , , , , , ,1,7422,0,36,1,3,1,1,1,1,5,4,48,2,1986,16,9112,0,22,1,3,5,2, ,1,4,2,40,1981,5,1, , , , , , ,1,1, , , , ,1947,2451,0,91,1,4,2, ,1,6,0,0,1,3,6,9,1,2,0,2,0, , , , , , ,2,0,4,2,2,0,2,8,3,8, , , , , , , , , ,1986,3,4,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,50000,3000000,1,1,2,2,2,2,2,1,0,0,0,0,6,2,7,1,1,2,2,2,2,1,2,2,2, ,2, ,2,5,3,8,8,64,8,2,2,2, ,1,4,4,2,9152,0,15,3,2
2118,1818,6, ,4, ,1,38,3,1,2,1, , , , , , , , , , , , ,38,42,6, , , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,2,8, ,1,4,3, ,1, , , , , , ,1,9312,0,75,2,4,2,1,1,1,6,2,70,2,1999,17,9211,0,1,2,3,5,2, ,1,5,4,48,1988,5,2,9211,0,2,1,1995,1996,1,1, , , , ,1945,8141,0,20,2,3,2, ,1,4,3,1,9,3,3,9,2,1,1,2,0, , , , , , ,2,0,1,1,1,1,2,4,3,1,1,0,0,8141,0,2,2,0,2,1985,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,3, ,5000000,2, , , , , , , , , , , ,3,1,3,1,1,2,2,2,2,2,2,2,2, ,2, ,2,2,1,4,4,16,4,1,2,2, ,1,2,8,1,9211,0,1,3,2
2119,541,13, ,4,541,1,38,5,1,2,2,1,1, , , , , , , , , , ,38,37,14,10,2, , , , , , , , , , ,5, , ,5,1,1, , , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,2,296,9,1,2, , ,99,4,3, ,1,1,2, ,1, , , , , , ,1,5230,0,52,1,2, ,2, , , ,4,60,5,1985,15,8141,0,52,1,3,1,2, ,1,5,4,70,1975,5,1, , , , , , ,2,0,5,2, ,22,1920,9133,0,93,1,2, , , , ,0,0,1,0,0,0,0,1,1,2,0, , , , , , ,2,0,4,2,1,1,4,3,2,1,6,2,9,110,0,2,1,1,2,1986,3,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1993,4,1, ,7000000,2, , , , , , , , , , , ,5,2,6,1,1,1,2,2,2,2,2,2,2, ,1,1,2,6,2,0, , ,0, , ,2, ,2, , , , , , , , 
2120,77,13, ,3,356,1,37,4,1,2,1,2, , , , , , , , , , , ,37,35,9,7, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,470,8,2,1, , ,99,4,4, ,1,1,3, ,1, , , , , , ,1,8333,0,92,1,3,1,2, ,1,5,4,48,2,1986,21,9132,0,55,1,3,2,2, ,1,5,4,48,1986,5,1, , , , , , ,1,1, , , , ,1948,9211,0,1,1,3,2, ,2,2,1,0,2,2,3,9,3,1,1,2,0, , , , , , ,2,0,4,1,1,1,4,4,3,1,6,6,9,3431,0,2,1,1,1,1991,1,1,2,1,1,4,2,4,4,0,0, , , , , , , , , , , ,2, ,10000000,2, , , , , , , , , , , ,5,1,5,1,1,1,2,2,2,2,1,2,2, ,2, ,1,5,2,4,4,16,4,2,2,2, ,1,2,6,2,9322,0,20,3,2
2121,3912,13, ,5,14,1,40,4,1,2,1,1, , , , , , , , , , , ,40,37,0,10, , , , , , , , , , , ,5, , ,3, ,1, , , , , , , , , , , ,2,3,10, , , , , , , , , , , ,1, , , ,2, , ,99,2,5, ,1,4,3, ,2,1,1,4,1,2000, ,2,7132,0,93,2,2, ,2, , , ,2,66,5,2001,12,5230,0,52,1,2, , , , , ,4,40,1976,1, , , , , , , ,1,1, , , , ,1940,9313,0,45,1,3,2, ,2,6,3,2,9,1,0,9,3,1,1,2,0, , , , , , ,2,0,3,2,1,1,4,4,3,1,4,4,9,8232,0,2,1,1,2,1994,1,4,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,3, ,25000000,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,2,2,2,2, ,2, ,2,2,1,6,6,36,6,2,2,2, ,1,2,8,1,3423,0,45,2,1
2122,2730,13, ,3,13,1,39,2,1,2, , , , , , , , , , , , , ,39,68, , , , , , , , , , , , , ,5, , ,4, , , , , , , , , , , , , ,4, , , , , , , , , , , , , ,2,13,13,3,2, , ,99,4,4, ,3,1,4, ,1, , , , , , ,1,5220,0,52,1,2, ,2, , , ,4,48,5,1979,18,5220,0,52,1,2, , , , , ,4,48, ,5,1, , , , , , ,1,1, , , , ,1929,110,0,75,1,4,2, ,1,7,6,2,9,6,2,9,3,1,1,2,0, , , , , , ,1,1,5,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,28000000,1,2,2,1,2,2, ,0,0,1,0,0,6,1,6,1,1,1,2,2,2,2,1,2,2, ,2, ,2,5,3,4,4,16,4,2,1,2, ,1,4,4,1,8322,0,60,2,2
2123,3791,13, ,4,356,1,39,5,1,2,2,1,2, , , , , , , , , , ,39,43,10,7,5, , , , , , , , , , ,5, , ,5,1,1,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,1, , , ,1, , ,99,5,3, ,1,1,3, ,1, , , , , , ,1,8323,0,60,1,3,5,2, ,1,4,4,56,5,1994,17,7122,0,45,1,3,1,2, ,1,6,1,48,1982,5,1, , , , , , ,2,0,1,31, ,1,1931,8290,0,19,1,3,2, ,1,4,3,4,9, , , , ,1,1,2,0, , , , , , ,2,0,2,1,2,0,5,3,1,1,6,6,9,7124,0,2,1,1,2,1985,1,2,1,2, , ,1,4,4,0,0, , , , , , , , ,2, , ,3, ,3000000,2, , , , , , , , , , , ,5,2,7,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,0, , ,0, , ,2, ,2, , , , , , , , 
2124,1779,13, ,3,72,1,45,4,1,2,1,2, , , , , , , , , , , ,45,43,17,12, , , , , , , , , , , ,5, , ,5,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,13,5,15,1,2,3, ,1, , , , , , ,1,2421,0,93,1,3,2,2, ,1,7,1,44,2,1995,26,5230,1,52,1,2, , , , , ,4,70,1984,5,1, , , , , , ,1,1, , , , ,1924,110,0,75,1,4,1,2,1,7,6,6,9,6,6,9,1,2,0,2,0, , , , , , ,2,0,5,3,1,1,12,3,1,1,13,5,9,2142,0,2,1,1,1,1982,1,3,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1995,4,2, ,22000000,1,2,1,2,2,2,2,0,1,0,0,0,10,2,10,1,1,1,2,2,1,1,1,1,1, ,2, ,1,7,3,2,2,4,2,2,1,1,1,1,4,4,1,5123,0,55,3,2
2125,2694,13, ,3,425,1,45,9,1,2,1,2,1,1,2,2,1, , , , , , ,45,42,75,21,18,13,12,8,22, , , , , , ,5, , ,3,4,5,5,1,1,1,5, , , , , , ,2,4,3,3,3,3,3,6, , , , , , ,1, , , ,1, , ,99,3,6, ,1,1,6,5,1, , , , , , ,1,9152,0,0,1,3,2,1,1,1,4,4,48,2,2001,18,8141,0,20,1,3,5,2, ,1,6,4,48,1973,5,2,9333,0,2,60,1992,1997,1,1, , , , ,1926,6142,1,1,1,1, , , ,2,2,1,1,2,2,9,3,1,1,2,0, , , , , , ,2,0,3,2,1,1,4,3,3,1,2,6,9,5122,0,2,0, ,0,1979,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1992,4,3, ,40000000,2, , , , , , , , , , , ,5,3,8,1,1,1,2,2,1,1,2,2,2, ,2, ,2,7,3,11,11,121,11,2,2,1,0,1,2,2,1,7129,0,45,3,1
2126,2630,10, ,3, ,1,44,2,1,2, , , , , , , , , , , , , ,44,41, , , , , , , , , , , , , ,5, , ,5, , , , , , , , , , , , , ,2, , , , , , , , , , , , , ,2,38,8,3,2, , ,99,2,8, ,1,1,2, ,1, , , , , , ,1,7136,0,93,2,2, ,2, , , ,4,48,5,1980,13,7136,0,93,2,2, , , , , ,4,0, ,5,1, , , , , , ,1,1, , , , ,1920,7136,0,93,2,2, , , , ,0,0,1,0,0,1,3,1,1,2,0, , , , , , ,2,0,3,2,1,1,2,8,1,6,0,0,1,4190,0,2,2,0,2,1983,3,2,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,70000,0,2, , , , , , , , , , , ,3,2,7,1,1,1,2,2,2,2,2,2,2, ,1,1,2,4,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
